	Views	Protein	Species	E-value	% identity	Align len	Strands	Query ID	Query from	Query to	Target from	Target to	Bitscore	# identical	Positives	Gaps	Query len	Target len
	phytozome-next.jgi.doe.gov/report/protein/Gsoja_v1_1/GlysoPI483463.03G131600.2.p	GlysoPI483463.03G131600.2.p	G.soja v1.1	2.82e-39	47	176	+/+	AT1G04100.1	95	259	53	228	139.428	83	105	11	261	245
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a4_v1/Glyma.03G167400.2.p	Glyma.03G167400.2.p	G.max Wm82.a4.v1	4.81e-39	47	176	+/+	AT1G04100.1	95	259	53	228	138.658	83	105	11	261	245
	phytozome-next.jgi.doe.gov/report/protein/Gsoja_v1_1/GlysoPI483463.03G131600.1.p	GlysoPI483463.03G131600.1.p	G.soja v1.1	5.62e-39	47	177	+/+	AT1G04100.1	95	259	53	229	138.658	84	108	12	261	246
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a4_v1/Glyma.10G040400.3.p	Glyma.10G040400.3.p	G.max Wm82.a4.v1	6.47e-39	45	185	+/+	AT1G04100.1	95	260	187	359	141.739	84	107	31	261	374
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a4_v1/Glyma.03G167400.1.p	Glyma.03G167400.1.p	G.max Wm82.a4.v1	1.01e-38	47	177	+/+	AT1G04100.1	95	259	53	229	137.887	84	108	12	261	246
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a4_v1/Glyma.03G167400.9.p	Glyma.03G167400.9.p	G.max Wm82.a4.v1	3.27e-38	47	176	+/+	AT1G04100.1	95	259	53	228	137.502	82	104	11	261	282
	phytozome-next.jgi.doe.gov/report/protein/Ljaponicus_Lj1_0v1/Lj5g0014958.1	Lj5g0014958.1	L.japonicus Lj1.0v1	8.40e-38	45	177	+/+	AT1G04100.1	95	260	88	261	136.346	79	103	14	261	277
	phytozome-next.jgi.doe.gov/report/protein/Athaliana_Araport11/AT1G04550.2	AT1G04550.2	A.thaliana Araport11	2.10e-36	44	170	+/+	AT1G04100.1	95	259	71	223	131.724	75	97	22	261	240
	phytozome-next.jgi.doe.gov/report/protein/Gsoja_v1_1/GlysoPI483463.19G132200.4.p	GlysoPI483463.19G132200.4.p	G.soja v1.1	2.18e-35	48	155	+/+	AT1G04100.1	95	238	38	191	128.257	75	96	12	261	208
	phytozome-next.jgi.doe.gov/report/protein/Gsoja_v1_1/GlysoPI483463.19G132200.6.p	GlysoPI483463.19G132200.6.p	G.soja v1.1	7.18e-35	48	160	+/+	AT1G04100.1	95	243	76	234	127.872	76	98	12	261	246
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a4_v1/Glyma.19G168500.3.p	Glyma.19G168500.3.p	G.max Wm82.a4.v1	8.69e-35	48	155	+/+	AT1G04100.1	95	238	76	229	127.487	75	96	12	261	235
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a4_v1/Glyma.19G168500.9.p	Glyma.19G168500.9.p	G.max Wm82.a4.v1	1.53e-34	48	155	+/+	AT1G04100.1	95	238	77	230	127.102	75	96	12	261	247
	phytozome-next.jgi.doe.gov/report/protein/Gsoja_v1_1/GlysoPI483463.19G132200.3.p	GlysoPI483463.19G132200.3.p	G.soja v1.1	2.38e-34	48	156	+/+	AT1G04100.1	95	238	38	192	125.561	75	98	13	261	209
	phytozome-next.jgi.doe.gov/report/protein/Gsoja_v1_1/GlysoPI483463.19G132200.7.p	GlysoPI483463.19G132200.7.p	G.soja v1.1	7.49e-34	47	161	+/+	AT1G04100.1	95	243	76	235	125.176	76	100	13	261	247
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a4_v1/Glyma.19G168500.10.p	Glyma.19G168500.10.p	G.max Wm82.a4.v1	9.19e-34	48	156	+/+	AT1G04100.1	95	238	76	230	124.79	75	98	13	261	236
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a4_v1/Glyma.19G168500.2.p	Glyma.19G168500.2.p	G.max Wm82.a4.v1	1.81e-33	48	156	+/+	AT1G04100.1	95	238	77	231	124.405	75	98	13	261	248
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a4_v1/Glyma.08G036400.2.p	Glyma.08G036400.2.p	G.max Wm82.a4.v1	1.38e-31	38	169	+/+	AT1G04100.1	95	261	142	284	120.553	65	94	28	261	291
	phytozome-next.jgi.doe.gov/report/protein/Gsoja_v1_1/GlysoPI483463.02G180600.1.p	GlysoPI483463.02G180600.1.p	G.soja v1.1	1.85e-31	41	173	+/+	AT1G04100.1	90	260	210	355	121.709	71	94	29	261	367
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a4_v1/Glyma.02G218100.3.p	Glyma.02G218100.3.p	G.max Wm82.a4.v1	1.85e-31	41	173	+/+	AT1G04100.1	90	260	210	355	121.709	71	94	29	261	367
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a4_v1/Glyma.02G218100.1.p	Glyma.02G218100.1.p	G.max Wm82.a4.v1	1.85e-31	41	173	+/+	AT1G04100.1	90	260	210	355	121.709	71	94	29	261	367
	phytozome-next.jgi.doe.gov/report/protein/Gsoja_v1_1/GlysoPI483463.14G146400.1.p	GlysoPI483463.14G146400.1.p	G.soja v1.1	2.09e-31	40	173	+/+	AT1G04100.1	90	260	211	356	121.709	70	93	29	261	368
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a4_v1/Glyma.14G185400.1.p	Glyma.14G185400.1.p	G.max Wm82.a4.v1	2.09e-31	40	173	+/+	AT1G04100.1	90	260	211	356	121.709	70	93	29	261	368
	phytozome-next.jgi.doe.gov/report/protein/Athaliana_Araport11/AT3G16500.1	AT3G16500.1	A.thaliana Araport11	2.85e-31	42	161	+/+	AT1G04100.1	95	254	105	251	119.013	67	97	15	261	270
	phytozome-next.jgi.doe.gov/report/protein/Athaliana_Araport11/AT3G16500.2	AT3G16500.2	A.thaliana Araport11	3.85e-31	42	161	+/+	AT1G04100.1	95	254	105	251	118.627	67	97	15	261	267
	phytozome-next.jgi.doe.gov/report/protein/Mtruncatula_Mt4_0v1/Medtr6g488150.1	Medtr6g488150.1	M.truncatula Mt4.0v1	4.66e-31	38	173	+/+	AT1G04100.1	90	260	98	243	118.242	66	93	29	261	255
	phytozome-next.jgi.doe.gov/report/protein/Ljaponicus_Lj1_0v1/Lj1g0008395.1	Lj1g0008395.1	L.japonicus Lj1.0v1	1.60e-30	43	167	+/+	AT1G04100.1	95	260	89	242	116.701	72	96	14	261	254
	phytozome-next.jgi.doe.gov/report/protein/Mtruncatula_Mt4_0v1/Medtr5g067350.1	Medtr5g067350.1	M.truncatula Mt4.0v1	1.72e-30	40	173	+/+	AT1G04100.1	90	259	193	335	119.013	69	95	33	261	348
	phytozome-next.jgi.doe.gov/report/protein/Mtruncatula_Mt4_0v1/Medtr8g103030.1	Medtr8g103030.1	M.truncatula Mt4.0v1	2.17e-30	41	172	+/+	AT1G04100.1	90	259	137	281	117.472	70	92	29	261	294
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a4_v1/Glyma.10G180100.1.p	Glyma.10G180100.1.p	G.max Wm82.a4.v1	3.36e-30	42	168	+/+	AT1G04100.1	95	260	85	228	115.546	71	88	26	261	240
	phytozome-next.jgi.doe.gov/report/protein/Ljaponicus_Lj1_0v1/LjContig00408g0010987.2	LjContig00408g0010987.2	L.japonicus Lj1.0v1	3.77e-30	42	168	+/+	AT1G04100.1	95	259	200	339	117.857	70	92	31	261	352
	phytozome-next.jgi.doe.gov/report/protein/Gsoja_v1_1/GlysoPI483463.15G019000.1.p	GlysoPI483463.15G019000.1.p	G.soja v1.1	4.44e-30	41	162	+/+	AT1G04100.1	95	254	147	299	117.087	66	89	11	261	321
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a4_v1/Glyma.15G020300.1.p	Glyma.15G020300.1.p	G.max Wm82.a4.v1	4.44e-30	41	162	+/+	AT1G04100.1	95	254	147	299	117.087	66	89	11	261	321
	phytozome-next.jgi.doe.gov/report/protein/Ljaponicus_Lj1_0v1/Lj3g0015366.1	Lj3g0015366.1	L.japonicus Lj1.0v1	5.80e-30	40	162	+/+	AT1G04100.1	95	254	157	307	117.087	65	91	13	261	323
	phytozome-next.jgi.doe.gov/report/protein/Athaliana_Araport11/AT1G51950.1	AT1G51950.1	A.thaliana Araport11	6.92e-30	41	167	+/+	AT1G04100.1	95	254	98	249	115.546	68	92	22	261	268
	phytozome-next.jgi.doe.gov/report/protein/Gsoja_v1_1/GlysoPI483463.10G148900.1.p	GlysoPI483463.10G148900.1.p	G.soja v1.1	7.28e-30	42	168	+/+	AT1G04100.1	95	260	85	228	114.775	71	88	26	261	240
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a4_v1/Glyma.04G089900.2.p	Glyma.04G089900.2.p	G.max Wm82.a4.v1	7.49e-30	39	173	+/+	AT1G04100.1	90	260	204	349	117.472	68	90	29	261	361
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a4_v1/Glyma.04G089900.1.p	Glyma.04G089900.1.p	G.max Wm82.a4.v1	7.49e-30	39	173	+/+	AT1G04100.1	90	260	204	349	117.472	68	90	29	261	361
	phytozome-next.jgi.doe.gov/report/protein/Gsoja_v1_1/GlysoPI483463.04G082100.1.p	GlysoPI483463.04G082100.1.p	G.soja v1.1	7.64e-30	39	173	+/+	AT1G04100.1	90	260	204	349	117.472	68	90	29	261	361
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a4_v1/Glyma.09G193000.1.p	Glyma.09G193000.1.p	G.max Wm82.a4.v1	8.51e-30	41	172	+/+	AT1G04100.1	90	259	152	295	116.316	70	88	30	261	308
	phytozome-next.jgi.doe.gov/report/protein/Ljaponicus_Lj1_0v1/Lj5g0010241.1	Lj5g0010241.1	L.japonicus Lj1.0v1	9.15e-30	42	168	+/+	AT1G04100.1	95	260	90	231	114.39	71	86	28	261	243
	phytozome-next.jgi.doe.gov/report/protein/Mtruncatula_Mt4_0v1/Medtr1g093240.2	Medtr1g093240.2	M.truncatula Mt4.0v1	1.30e-29	43	168	+/+	AT1G04100.1	95	260	85	225	114.005	72	88	29	261	240
	phytozome-next.jgi.doe.gov/report/protein/Gsoja_v1_1/GlysoPI483463.13G301800.1.p	GlysoPI483463.13G301800.1.p	G.soja v1.1	1.93e-29	40	162	+/+	AT1G04100.1	95	254	170	325	115.931	65	91	8	261	347
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a4_v1/Glyma.13G354100.11.p	Glyma.13G354100.11.p	G.max Wm82.a4.v1	1.93e-29	40	162	+/+	AT1G04100.1	95	254	170	325	115.931	65	91	8	261	347
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a4_v1/Glyma.13G354100.12.p	Glyma.13G354100.12.p	G.max Wm82.a4.v1	1.93e-29	40	162	+/+	AT1G04100.1	95	254	170	325	115.931	65	91	8	261	347
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a4_v1/Glyma.13G354100.13.p	Glyma.13G354100.13.p	G.max Wm82.a4.v1	1.93e-29	40	162	+/+	AT1G04100.1	95	254	170	325	115.931	65	91	8	261	347
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a4_v1/Glyma.13G354100.6.p	Glyma.13G354100.6.p	G.max Wm82.a4.v1	1.94e-29	40	162	+/+	AT1G04100.1	95	254	170	325	115.931	65	91	8	261	343
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a4_v1/Glyma.13G354100.5.p	Glyma.13G354100.5.p	G.max Wm82.a4.v1	1.94e-29	40	162	+/+	AT1G04100.1	95	254	170	325	115.931	65	91	8	261	343
	phytozome-next.jgi.doe.gov/report/protein/Gsoja_v1_1/GlysoPI483463.08G033800.1.p	GlysoPI483463.08G033800.1.p	G.soja v1.1	2.02e-29	38	168	+/+	AT1G04100.1	95	260	205	346	116.316	64	92	28	261	358
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a4_v1/Glyma.08G036400.1.p	Glyma.08G036400.1.p	G.max Wm82.a4.v1	2.02e-29	38	168	+/+	AT1G04100.1	95	260	205	346	116.316	64	92	28	261	358
	phytozome-next.jgi.doe.gov/report/protein/Athaliana_Araport11/AT4G14550.2	AT4G14550.2	A.thaliana Araport11	3.26e-29	43	169	+/+	AT1G04100.1	95	261	78	218	112.849	73	85	30	261	235
	phytozome-next.jgi.doe.gov/report/protein/Gsoja_v1_1/GlysoPI483463.09G151700.1.p	GlysoPI483463.09G151700.1.p	G.soja v1.1	3.34e-29	40	172	+/+	AT1G04100.1	90	259	152	295	114.775	69	87	30	261	308
	phytozome-next.jgi.doe.gov/report/protein/Mtruncatula_Mt4_0v1/Medtr1g093240.1	Medtr1g093240.1	M.truncatula Mt4.0v1	3.80e-29	40	168	+/+	AT1G04100.1	95	260	85	225	112.849	68	85	29	261	237
	phytozome-next.jgi.doe.gov/report/protein/Ljaponicus_Lj1_0v1/Lj4g0021637.1	Lj4g0021637.1	L.japonicus Lj1.0v1	5.32e-29	39	169	+/+	AT1G04100.1	95	259	153	291	114.005	66	91	34	261	304
	phytozome-next.jgi.doe.gov/report/protein/Mtruncatula_Mt4_0v1/Medtr2g100780.4	Medtr2g100780.4	M.truncatula Mt4.0v1	1.01e-28	39	168	+/+	AT1G04100.1	95	254	98	253	112.464	66	91	20	261	270
	phytozome-next.jgi.doe.gov/report/protein/Mtruncatula_Mt4_0v1/Medtr2g100780.1	Medtr2g100780.1	M.truncatula Mt4.0v1	1.01e-28	39	168	+/+	AT1G04100.1	95	254	98	253	112.464	66	91	20	261	270
	phytozome-next.jgi.doe.gov/report/protein/Mtruncatula_Mt4_0v1/Medtr2g100780.2	Medtr2g100780.2	M.truncatula Mt4.0v1	1.01e-28	39	168	+/+	AT1G04100.1	95	254	98	253	112.464	66	91	20	261	270
	phytozome-next.jgi.doe.gov/report/protein/Gsoja_v1_1/GlysoPI483463.20G173300.1.p	GlysoPI483463.20G173300.1.p	G.soja v1.1	1.31e-28	41	168	+/+	AT1G04100.1	95	260	90	232	111.309	69	87	27	261	244
	phytozome-next.jgi.doe.gov/report/protein/Mtruncatula_Mt4_0v1/Medtr2g100780.3	Medtr2g100780.3	M.truncatula Mt4.0v1	1.49e-28	39	168	+/+	AT1G04100.1	95	254	98	253	112.079	66	91	20	261	269
	phytozome-next.jgi.doe.gov/report/protein/Gsoja_v1_1/GlysoPI483463.13G304400.1.p	GlysoPI483463.13G304400.1.p	G.soja v1.1	1.51e-28	40	167	+/+	AT1G04100.1	95	259	155	295	112.849	66	85	28	261	308
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a4_v1/Glyma.13G356600.1.p	Glyma.13G356600.1.p	G.max Wm82.a4.v1	2.14e-28	40	167	+/+	AT1G04100.1	95	259	155	295	112.464	66	85	28	261	308
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a4_v1/Glyma.05G229300.1.p	Glyma.05G229300.1.p	G.max Wm82.a4.v1	2.47e-28	37	168	+/+	AT1G04100.1	95	260	137	276	111.694	62	89	30	261	288
	phytozome-next.jgi.doe.gov/report/protein/Gsoja_v1_1/GlysoPI483463.06G083600.1.p	GlysoPI483463.06G083600.1.p	G.soja v1.1	2.78e-28	39	173	+/+	AT1G04100.1	90	260	205	350	113.235	67	91	29	261	362
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a4_v1/Glyma.06G091700.4.p	Glyma.06G091700.4.p	G.max Wm82.a4.v1	3.02e-28	39	173	+/+	AT1G04100.1	90	260	205	350	113.235	67	91	29	261	362
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a4_v1/Glyma.06G091700.3.p	Glyma.06G091700.3.p	G.max Wm82.a4.v1	3.02e-28	39	173	+/+	AT1G04100.1	90	260	205	350	113.235	67	91	29	261	362
	phytozome-next.jgi.doe.gov/report/protein/Ljaponicus_Lj1_0v1/Lj2g0018097.2	Lj2g0018097.2	L.japonicus Lj1.0v1	3.16e-28	37	172	+/+	AT1G04100.1	90	259	149	292	112.079	63	92	30	261	309
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a4_v1/Glyma.09G203300.3.p	Glyma.09G203300.3.p	G.max Wm82.a4.v1	3.80e-28	36	173	+/+	AT1G04100.1	90	260	196	343	112.464	63	88	27	261	349
	phytozome-next.jgi.doe.gov/report/protein/Gsoja_v1_1/GlysoPI483463.02G124500.1.p	GlysoPI483463.02G124500.1.p	G.soja v1.1	4.28e-28	40	168	+/+	AT1G04100.1	95	260	97	235	110.153	68	84	31	261	247
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a4_v1/Glyma.02G142500.3.p	Glyma.02G142500.3.p	G.max Wm82.a4.v1	4.28e-28	40	168	+/+	AT1G04100.1	95	260	97	235	110.153	68	84	31	261	247
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a4_v1/Glyma.09G203300.2.p	Glyma.09G203300.2.p	G.max Wm82.a4.v1	4.36e-28	36	173	+/+	AT1G04100.1	90	260	196	343	112.464	63	88	27	261	348
	phytozome-next.jgi.doe.gov/report/protein/Gsoja_v1_1/GlysoPI483463.07G013300.3.p	GlysoPI483463.07G013300.3.p	G.soja v1.1	4.54e-28	38	176	+/+	AT1G04100.1	95	254	136	305	111.694	66	95	22	261	318
	phytozome-next.jgi.doe.gov/report/protein/Athaliana_Araport11/AT4G14550.1	AT4G14550.1	A.thaliana Araport11	4.60e-28	43	167	+/+	AT1G04100.1	95	259	78	216	109.768	71	83	30	261	229
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a4_v1/Glyma.07G015200.1.p	Glyma.07G015200.1.p	G.max Wm82.a4.v1	4.68e-28	38	176	+/+	AT1G04100.1	95	254	136	305	111.694	66	95	22	261	318
	phytozome-next.jgi.doe.gov/report/protein/Athaliana_Araport11/AT3G23050.1	AT3G23050.1	A.thaliana Araport11	5.04e-28	40	168	+/+	AT1G04100.1	95	260	84	231	109.768	68	88	22	261	244
	phytozome-next.jgi.doe.gov/report/protein/Gsoja_v1_1/GlysoPI483463.10G029400.1.p	GlysoPI483463.10G029400.1.p	G.soja v1.1	6.88e-28	40	168	+/+	AT1G04100.1	95	260	99	237	109.768	67	84	31	261	249
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a4_v1/Glyma.10G031900.1.p	Glyma.10G031900.1.p	G.max Wm82.a4.v1	6.88e-28	40	168	+/+	AT1G04100.1	95	260	99	237	109.768	67	84	31	261	249
	phytozome-next.jgi.doe.gov/report/protein/Mtruncatula_Mt4_0v1/Medtr8g014520.1	Medtr8g014520.1	M.truncatula Mt4.0v1	7.56e-28	40	161	+/+	AT1G04100.1	95	254	109	259	110.153	65	90	11	261	272
	phytozome-next.jgi.doe.gov/report/protein/Mtruncatula_Mt4_0v1/Medtr8g014520.2	Medtr8g014520.2	M.truncatula Mt4.0v1	7.81e-28	40	161	+/+	AT1G04100.1	95	254	109	259	110.153	65	90	11	261	269
	phytozome-next.jgi.doe.gov/report/protein/Gsoja_v1_1/GlysoPI483463.07G013300.1.p	GlysoPI483463.07G013300.1.p	G.soja v1.1	8.15e-28	38	176	+/+	AT1G04100.1	95	254	136	305	111.694	66	95	22	261	342
	phytozome-next.jgi.doe.gov/report/protein/Gsoja_v1_1/GlysoPI483463.07G013300.2.p	GlysoPI483463.07G013300.2.p	G.soja v1.1	8.36e-28	38	176	+/+	AT1G04100.1	95	254	136	305	111.309	66	95	22	261	322
	phytozome-next.jgi.doe.gov/report/protein/Gsoja_v1_1/GlysoPI483463.05G196100.1.p	GlysoPI483463.05G196100.1.p	G.soja v1.1	8.74e-28	38	168	+/+	AT1G04100.1	95	260	137	276	110.538	64	89	30	261	288
	phytozome-next.jgi.doe.gov/report/protein/Athaliana_Araport11/AT1G04250.1	AT1G04250.1	A.thaliana Araport11	5.83e-158	100	229	+/+	AT1G04250.1	1	229	1	229	439.113	229	229	0	229	230
	phytozome-next.jgi.doe.gov/report/protein/Athaliana_Araport11/AT4G14550.1	AT4G14550.1	A.thaliana Araport11	5.38e-95	68	235	+/+	AT1G04250.1	7	229	1	228	279.641	160	189	19	229	229
	phytozome-next.jgi.doe.gov/report/protein/Gsoja_v1_1/GlysoPI483463.10G148900.1.p	GlysoPI483463.10G148900.1.p	G.soja v1.1	3.95e-93	64	237	+/+	AT1G04250.1	5	229	11	239	275.404	151	174	20	229	240
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a4_v1/Glyma.10G180100.1.p	Glyma.10G180100.1.p	G.max Wm82.a4.v1	4.01e-92	61	246	+/+	AT1G04250.1	5	229	11	239	272.707	150	173	38	229	240
	phytozome-next.jgi.doe.gov/report/protein/Athaliana_Araport11/AT3G23050.1	AT3G23050.1	A.thaliana Araport11	5.17e-92	60	249	+/+	AT1G04250.1	1	229	1	243	272.707	149	179	26	229	244
	phytozome-next.jgi.doe.gov/report/protein/Ljaponicus_Lj1_0v1/Lj5g0010241.1	Lj5g0010241.1	L.japonicus Lj1.0v1	5.76e-92	62	247	+/+	AT1G04250.1	1	229	4	242	272.707	152	178	26	229	243
	phytozome-next.jgi.doe.gov/report/protein/Mtruncatula_Mt4_0v1/Medtr1g093240.1	Medtr1g093240.1	M.truncatula Mt4.0v1	1.00e-91	60	245	+/+	AT1G04250.1	7	229	8	236	271.552	146	171	38	229	237
	phytozome-next.jgi.doe.gov/report/protein/Gsoja_v1_1/GlysoPI483463.20G173300.1.p	GlysoPI483463.20G173300.1.p	G.soja v1.1	2.36e-91	60	249	+/+	AT1G04250.1	7	229	11	243	271.166	149	174	42	229	244
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a4_v1/Glyma.20G210400.1.p	Glyma.20G210400.1.p	G.max Wm82.a4.v1	7.73e-90	59	253	+/+	AT1G04250.1	7	229	95	331	270.396	149	173	46	229	332
	phytozome-next.jgi.doe.gov/report/protein/Athaliana_Araport11/AT4G14550.2	AT4G14550.2	A.thaliana Araport11	1.42e-87	67	224	+/+	AT1G04250.1	7	218	1	217	261.151	151	178	19	229	235
	phytozome-next.jgi.doe.gov/report/protein/Athaliana_Araport11/AT3G04730.1	AT3G04730.1	A.thaliana Araport11	9.09e-84	58	246	+/+	AT1G04250.1	7	229	2	236	251.521	142	171	34	229	237
	phytozome-next.jgi.doe.gov/report/protein/Mtruncatula_Mt4_0v1/Medtr1g093240.2	Medtr1g093240.2	M.truncatula Mt4.0v1	1.91e-82	58	233	+/+	AT1G04250.1	7	217	8	224	248.44	136	159	38	229	240
